$atleast,>d,$done_percent,<ep,$learning_curve,<np,$nprod,$optimism,$pomposity,$productivity_exp,$productivity_new,$r,$to,$ts,>dom
6.22,13.73,8.89,12.78,76.38,12.22,0.66,35.54,94.12,1.47,0.55,964.96,37.67,60.95,0.07
3.51,0.57,4.58,9,96.53,27,5.78,60.8,47.99,9.73,0.95,450.31,89.61,95.71,0
3.51,100,4.58,9.28,96.53,26.72,5.78,60.8,47.99,9.73,0.95,350.31,89.61,95.71,0.44
9.53,0.7,2.74,2,46.29,7,8.7,11.27,92.86,6.82,0.47,448.85,28.34,83.09,0.27
9.53,100,2.74,2.15,46.29,6.85,8.7,11.27,92.86,6.82,0.47,348.85,28.34,83.09,0.99
3.7,0.58,4.52,9,5.74,10,7.15,51.67,72.7,6.03,0.17,890.23,6.78,18.35,0.1
3.7,100,4.52,10.74,5.74,8.26,7.15,51.67,72.7,6.03,0.17,790.23,6.78,18.35,0.91
2.63,0.1,2.81,7,67,15,8.44,54.62,26.81,7.55,0.72,735.92,51.52,2.92,0.11
2.63,100,2.81,7.22,67,14.78,8.44,54.62,26.81,7.55,0.72,635.92,51.52,2.92,0.73
4.72,0.97,3.87,2,9.81,6,9.56,27.47,50.19,3.67,0.68,690.41,63.47,1.09,0.26
4.72,100,3.87,2.61,9.81,5.39,9.56,27.47,50.19,3.67,0.68,590.41,63.47,1.09,0.99
5.9,0.87,9.32,3,26.34,4,7.96,18.03,71.54,6.65,0.87,721.87,73.6,35.33,0.33
5.9,100,9.32,3.15,26.34,3.85,7.96,18.03,71.54,6.65,0.87,621.87,73.6,35.33,0.99
7.1,0.93,1.06,8,69.08,26,9.42,84.46,75.23,9.34,0.06,799,86.39,37.43,0
7.1,100,1.06,8.38,69.08,25.62,9.42,84.46,75.23,9.34,0.06,699,86.39,37.43,0.47
9.15,0.8,8.31,7,54.93,7,7.32,64.36,11.27,5.22,0.69,662.94,54.36,93.16,0.18
9.15,100,8.31,7.13,54.93,6.87,7.32,64.36,11.27,5.22,0.69,562.94,54.36,93.16,0.97
3.02,0.09,3.49,2,64.98,26,5.62,58.54,63.14,5.96,0.51,461.36,77.97,40.77,0
3.02,100,3.49,2.4,64.98,25.6,5.62,58.54,63.14,5.96,0.51,361.36,77.97,40.77,0.59
5.01,0.36,7.21,9,60.37,19,5.51,84.82,95.22,9.62,0.42,344.07,53.41,78.2,0.03
5.01,100,7.21,9.31,60.37,18.69,5.51,84.82,95.22,9.62,0.42,244.07,53.41,78.2,0.67
8.57,0.4,6.8,3,95.04,12,3.96,92.76,6.61,2.98,0.93,767.58,19.73,45.89,0.17
8.57,80,6.8,3.13,95.04,11.87,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.84
8.57,80,6.8,3.25,95.04,11.75,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.8
8.57,80,6.8,3.38,95.04,11.62,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.78
8.57,80,6.8,3.5,95.04,11.5,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.8
8.57,80,6.8,3.62,95.04,11.38,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.81
8.57,80,6.8,3.74,95.04,11.26,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.75
8.57,80,6.8,3.86,95.04,11.14,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.74
8.57,80,6.8,3.98,95.04,11.02,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.81
8.57,80,6.8,4.1,95.04,10.9,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.78
8.57,80,6.8,4.22,95.04,10.78,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.84
8.57,80,6.8,4.33,95.04,10.67,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.75
8.57,80,6.8,4.44,95.04,10.56,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.73
8.57,80,6.8,4.56,95.04,10.44,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.84
8.57,80,6.8,4.67,95.04,10.33,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.82
8.57,80,6.8,4.78,95.04,10.22,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.83
8.57,80,6.8,4.89,95.04,10.11,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.86
8.57,80,6.8,4.99,95.04,10.01,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.8
8.57,80,6.8,5.1,95.04,9.9,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.82
8.57,80,6.8,5.2,95.04,9.8,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.85
8.57,80,6.8,5.31,95.04,9.69,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.86
8.57,80,6.8,5.41,95.04,9.59,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.83
8.57,80,6.8,5.51,95.04,9.49,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.93
8.57,80,6.8,5.62,95.04,9.38,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.83
8.57,80,6.8,5.71,95.04,9.29,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.82
8.57,80,6.8,5.81,95.04,9.19,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.78
8.57,80,6.8,5.91,95.04,9.09,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.78
8.57,80,6.8,6.01,95.04,8.99,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.78
8.57,80,6.8,6.1,95.04,8.9,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.86
8.57,80,6.8,6.2,95.04,8.8,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.85
8.57,80,6.8,6.2,95.04,8.8,3.96,92.76,6.61,2.98,0.93,687.98,19.73,45.89,0.77
3.85,0.65,8.74,8,38.79,22,9.26,49.98,97.83,8.53,0.42,369.03,53.76,36.37,0.01
3.85,100,8.74,8.57,38.79,21.43,9.26,49.98,97.83,8.53,0.42,269.03,53.76,36.37,0.59
0.59,0.91,8.35,6,99.61,10,7.7,61.31,95.4,5.26,0.93,907.75,10.02,27.02,0.15
0.59,100,8.35,6.1,99.61,9.9,7.7,61.31,95.4,5.26,0.93,807.75,10.02,27.02,0.95
9.24,0.78,8.14,5,30.32,22,3.07,96.66,29.66,2.36,0.65,889.4,81.37,89.56,0.04
9.24,80.91,8.14,5.73,30.32,21.27,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.46
9.24,80.91,8.14,6.45,30.32,20.55,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.54
9.24,80.91,8.14,7.15,30.32,19.85,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.55
9.24,80.91,8.14,7.83,30.32,19.17,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.65
9.24,80.91,8.14,8.49,30.32,18.51,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.51
9.24,80.91,8.14,9.12,30.32,17.88,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.47
9.24,80.91,8.14,9.73,30.32,17.27,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.5
9.24,80.91,8.14,10.32,30.32,16.68,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.49
9.24,80.91,8.14,10.89,30.32,16.11,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.52
9.24,80.91,8.14,11.44,30.32,15.56,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.63
9.24,80.91,8.14,11.97,30.32,15.03,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.45
9.24,80.91,8.14,12.48,30.32,14.52,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.58
9.24,80.91,8.14,12.98,30.32,14.02,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.62
9.24,80.91,8.14,13.46,30.32,13.54,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.61
9.24,80.91,8.14,13.92,30.32,13.08,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.53
9.24,80.91,8.14,14.37,30.32,12.63,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.69
9.24,80.91,8.14,14.8,30.32,12.2,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.6
9.24,80.91,8.14,15.21,30.32,11.79,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.55
9.24,80.91,8.14,15.62,30.32,11.38,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.53
9.24,80.91,8.14,16.01,30.32,10.99,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.68
9.24,80.91,8.14,16.38,30.32,10.62,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.59
9.24,80.91,8.14,16.74,30.32,10.26,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.57
9.24,80.91,8.14,17.09,30.32,9.91,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.55
9.24,80.91,8.14,17.43,30.32,9.57,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.6
9.24,80.91,8.14,17.76,30.32,9.24,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.6
9.24,80.91,8.14,18.07,30.32,8.93,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.66
9.24,80.91,8.14,18.38,30.32,8.62,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.63
9.24,80.91,8.14,18.67,30.32,8.33,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.57
9.24,80.91,8.14,18.96,30.32,8.04,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.63
9.24,80.91,8.14,18.96,30.32,8.04,3.07,96.66,29.66,2.36,0.65,809.27,81.37,89.56,0.64
4.02,0.63,4.67,1,2.33,5,4.37,28.19,77.71,1.2,0.6,65.63,21.59,77.15,0.36
4.02,18.98,4.67,3.15,2.33,2.85,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.55
4.02,18.98,4.67,5.29,2.33,0.71,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.5
4.02,18.98,4.67,6.52,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.51
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.47
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.61
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.55
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.62
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.56
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.58
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.53
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.59
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.52
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.59
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.49
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.58
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.6
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.52
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.51
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.64
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.54
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.56
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.56
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.5
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.56
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.53
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.53
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.48
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.44
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.57
4.02,18.98,4.67,6.82,2.33,0,4.37,28.19,77.71,1.2,0.6,47.28,21.59,77.15,0.49
4.89,0.96,9.69,9,88.76,3,9.31,56.21,6.42,2.09,0.85,985.34,16.01,70.71,0.26
4.89,100,9.69,9.03,88.76,2.97,9.31,56.21,6.42,2.09,0.85,885.34,16.01,70.71,0.94
8.05,0.26,5.56,9,52.43,11,7.31,48.5,48.11,4.95,0.42,291.43,21.39,35.93,0.1
8.05,100,5.56,9.21,52.43,10.79,7.31,48.5,48.11,4.95,0.42,191.43,21.39,35.93,0.93
3.98,0.48,3,9,36.56,7,4.78,13,65.27,6.3,0.68,69.4,20.12,2.27,0.14
3.98,100,3,9.19,36.56,6.81,4.78,13,65.27,6.3,0.68,0,20.12,2.27,0.93
1.88,0.87,7.56,2,30.86,4,0.15,24.76,47.75,6.61,0.07,12.01,94.76,28.88,0.3
1.88,2.9,7.56,2.13,30.86,3.87,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.37
1.88,2.9,7.56,2.26,30.86,3.74,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.4
1.88,2.9,7.56,2.38,30.86,3.62,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.46
1.88,2.9,7.56,2.51,30.86,3.49,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.41
1.88,2.9,7.56,2.62,30.86,3.38,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.37
1.88,2.9,7.56,2.74,30.86,3.26,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.36
1.88,2.9,7.56,2.85,30.86,3.15,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.28
1.88,2.9,7.56,2.95,30.86,3.05,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.37
1.88,2.9,7.56,3.05,30.86,2.95,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.37
1.88,2.9,7.56,3.15,30.86,2.85,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.4
1.88,2.9,7.56,3.25,30.86,2.75,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.36
1.88,2.9,7.56,3.34,30.86,2.66,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.36
1.88,2.9,7.56,3.43,30.86,2.57,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.47
1.88,2.9,7.56,3.52,30.86,2.48,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.36
1.88,2.9,7.56,3.6,30.86,2.4,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.4
1.88,2.9,7.56,3.68,30.86,2.32,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.4
1.88,2.9,7.56,3.76,30.86,2.24,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.36
1.88,2.9,7.56,3.83,30.86,2.17,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.37
1.88,2.9,7.56,3.91,30.86,2.09,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.46
1.88,2.9,7.56,3.98,30.86,2.02,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.41
1.88,2.9,7.56,4.04,30.86,1.96,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.38
1.88,2.9,7.56,4.11,30.86,1.89,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.39
1.88,2.9,7.56,4.17,30.86,1.83,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.44
1.88,2.9,7.56,4.23,30.86,1.77,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.34
1.88,2.9,7.56,4.29,30.86,1.71,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.43
1.88,2.9,7.56,4.35,30.86,1.65,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.37
1.88,2.9,7.56,4.41,30.86,1.59,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.37
1.88,2.9,7.56,4.46,30.86,1.54,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.39
1.88,2.9,7.56,4.51,30.86,1.49,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.43
1.88,2.9,7.56,4.51,30.86,1.49,0.15,24.76,47.75,6.61,0.07,9.98,94.76,28.88,0.35
1.86,0.97,7.17,9,15.15,21,1.02,88.08,70.56,4.39,0.44,355.67,43.45,36.87,0.01
1.86,50.7,7.17,10.39,15.15,19.61,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.23
1.86,50.7,7.17,11.77,15.15,18.23,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.22
1.86,50.7,7.17,13.07,15.15,16.93,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.18
1.86,50.7,7.17,14.27,15.15,15.73,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.21
1.86,50.7,7.17,15.39,15.15,14.61,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.19
1.86,50.7,7.17,16.43,15.15,13.57,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.27
1.86,50.7,7.17,17.39,15.15,12.61,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.26
1.86,50.7,7.17,18.29,15.15,11.71,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.23
1.86,50.7,7.17,19.12,15.15,10.88,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.3
1.86,50.7,7.17,19.89,15.15,10.11,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.3
1.86,50.7,7.17,20.61,15.15,9.39,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.25
1.86,50.7,7.17,21.28,15.15,8.72,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.22
1.86,50.7,7.17,21.9,15.15,8.1,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.28
1.86,50.7,7.17,22.47,15.15,7.53,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.3
1.86,50.7,7.17,23.01,15.15,6.99,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.2
1.86,50.7,7.17,23.5,15.15,6.5,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.33
1.86,50.7,7.17,23.97,15.15,6.03,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.37
1.86,50.7,7.17,24.39,15.15,5.61,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.24
1.86,50.7,7.17,24.79,15.15,5.21,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.29
1.86,50.7,7.17,25.16,15.15,4.84,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.27
1.86,50.7,7.17,25.51,15.15,4.49,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.26
1.86,50.7,7.17,25.83,15.15,4.17,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.26
1.86,50.7,7.17,26.12,15.15,3.88,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.26
1.86,50.7,7.17,26.4,15.15,3.6,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.4
1.86,50.7,7.17,26.65,15.15,3.35,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.31
1.86,50.7,7.17,26.89,15.15,3.11,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.3
1.86,50.7,7.17,27.11,15.15,2.89,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.37
1.86,50.7,7.17,27.32,15.15,2.68,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.31
1.86,50.7,7.17,27.51,15.15,2.49,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.29
1.86,50.7,7.17,27.51,15.15,2.49,1.02,88.08,70.56,4.39,0.44,305.94,43.45,36.87,0.38
3.19,0.47,9.75,8,17.86,15,7.63,45.13,15.1,5.93,0.1,47.82,89.33,14.92,0.05
3.19,100,9.75,8.84,17.86,14.16,7.63,45.13,15.1,5.93,0.1,0,89.33,14.92,0.8
8.24,0.71,9.57,5,17.28,14,4.99,12.01,95.28,7.38,0.3,584.76,24.78,66.31,0.07
8.24,100,9.57,5.81,17.28,13.19,4.99,12.01,95.28,7.38,0.3,484.76,24.78,66.31,0.82
9.69,0.31,6.66,4,32.54,27,1.51,26.71,95.69,4.22,0.42,997.66,99.14,53.25,0.01
9.69,42.92,6.66,4.83,32.54,26.17,1.51,26.71,95.69,4.22,0.42,955.05,99.14,53.25,0.06
9.69,42.92,6.66,5.66,32.54,25.34,1.51,26.71,95.69,4.22,0.42,955.05,99.14,53.25,0.11
9.69,42.92,6.66,6.46,32.54,24.54,1.51,26.71,95.69,4.22,0.42,955.05,99.14,53.25,0.18
9.69,42.92,6.66,7.24,32.54,23.76,1.51,26.71,95.69,4.22,0.42,955.05,99.14,53.25,0.13
9.69,42.92,6.66,8,32.54,23,1.51,26.71,95.69,4.22,0.42,955.05,99.14,53.25,0.17
9.69,42.92,6.66,8.73,32.54,22.27,1.51,26.71,95.69,4.22,0.42,955.05,99.14,53.25,0.11
9.69,42.92,6.66,9.43,32.54,21.57,1.51,26.71,95.69,4.22,0.42,955.05,99.14,53.25,0.16
9.69,42.92,6.66,10.12,32.54,20.88,1.51,26.71,95.69,4.22,0.42,955.05,99.14,53.25,0.09
9.69,42.92,6.66,10.78,32.54,20.22,1.51,26.71,95.69,4.22,0.42,955.05,99.14,53.25,0.12
9.69,42.92,6.66,11.42,32.54,19.58,1.51,26.71,95.69,4.22,0.42,955.05,99.14,53.25,0.16
9.69,42.92,6.66,12.04,32.54,18.96,1.51,26.71,95.69,4.22,0.42,955.05,99.14,53.25,0.16
9.69,42.92,6.66,12.65,32.54,18.35,1.51,26.71,95.69,4.22,0.42,955.05,99.14,53.25,0.14
